"dataset","fold","grid_neighborhood","grid_topology","grid_size_x","grid_size_y","rlen","radius","alpha1","alpha2","empty_neurons","qe_val"
"emotions","fold1","gaussian","hexagonal",3,3,1500,3,0.05,0.01,0,0.287546919570415
"emotions","fold1","gaussian","hexagonal",3,3,500,5,0.05,0.01,0,0.2911202170128
"emotions","fold1","gaussian","hexagonal",3,3,1000,5,0.05,0.01,0,0.265863582087252
"emotions","fold1","gaussian","hexagonal",3,3,1500,5,0.05,0.01,0,0.292958031111616
"emotions","fold1","gaussian","hexagonal",3,3,500,7,0.05,0.01,0,0.287374605019299
"emotions","fold1","gaussian","hexagonal",3,3,1000,7,0.05,0.01,0,0.287933752831042
"emotions","fold1","gaussian","hexagonal",3,3,1500,7,0.05,0.01,0,0.261920082365999
"emotions","fold1","gaussian","hexagonal",3,3,500,3,0.5,0.005,0,0.258245223990983
"emotions","fold1","gaussian","hexagonal",3,3,1000,3,0.5,0.005,1,0.258245223990983
"emotions","fold1","gaussian","hexagonal",3,3,1500,3,0.5,0.005,0,0.250010920008468
"emotions","fold1","gaussian","hexagonal",3,3,500,5,0.5,0.005,0,0.256426989976195
"emotions","fold1","gaussian","hexagonal",3,3,1000,5,0.5,0.005,0,0.26759165220114
"emotions","fold1","gaussian","hexagonal",3,3,1500,5,0.5,0.005,0,0.250939683076268
"emotions","fold1","gaussian","hexagonal",3,3,500,7,0.5,0.005,0,0.284587176315428
"emotions","fold1","gaussian","hexagonal",3,3,1000,7,0.5,0.005,0,0.261497151148663
"emotions","fold1","gaussian","hexagonal",3,3,1500,7,0.5,0.005,0,0.247543947584096
"emotions","fold1","gaussian","hexagonal",3,3,500,3,0.1,0.005,0,0.266304575233144
"emotions","fold1","gaussian","hexagonal",3,3,1000,3,0.1,0.005,0,0.267757968354354
"emotions","fold1","gaussian","hexagonal",3,3,1500,3,0.1,0.005,0,0.261241030721615
"emotions","fold1","gaussian","hexagonal",3,3,500,5,0.1,0.005,0,0.268978438555854
"emotions","fold1","gaussian","hexagonal",3,3,1000,5,0.1,0.005,0,0.268404818525608
"emotions","fold1","gaussian","hexagonal",3,3,1500,5,0.1,0.005,0,0.262634318357309
"emotions","fold1","gaussian","hexagonal",3,3,500,7,0.1,0.005,0,0.2956149679822
"emotions","fold1","gaussian","hexagonal",3,3,1000,7,0.1,0.005,0,0.290891002660359
"emotions","fold1","gaussian","hexagonal",3,3,1500,7,0.1,0.005,0,0.278908035743546
"emotions","fold1","gaussian","hexagonal",3,3,500,3,0.05,0.005,1,0.278908035743546
"emotions","fold1","gaussian","hexagonal",3,3,1000,3,0.05,0.005,0,0.281000027476195
"emotions","fold1","gaussian","hexagonal",3,3,1500,3,0.05,0.005,0,0.293259188954066
"emotions","fold1","gaussian","hexagonal",3,3,500,5,0.05,0.005,1,0.293259188954066
"emotions","fold1","gaussian","hexagonal",3,3,1000,5,0.05,0.005,0,0.26817512039335
"emotions","fold1","gaussian","hexagonal",3,3,1500,5,0.05,0.005,1,0.26817512039335
"emotions","fold1","gaussian","hexagonal",3,3,500,7,0.05,0.005,0,0.285190457629507
"emotions","fold1","gaussian","hexagonal",3,3,1000,7,0.05,0.005,0,0.279453197055352
"emotions","fold1","gaussian","hexagonal",3,3,1500,7,0.05,0.005,0,0.292088702086202
"emotions","fold1","gaussian","hexagonal",3,3,500,3,0.5,0.001,0,0.275576290667273
"emotions","fold1","gaussian","hexagonal",3,3,1000,3,0.5,0.001,0,0.27438381100227
"emotions","fold1","gaussian","hexagonal",3,3,1500,3,0.5,0.001,0,0.24830226828001
"emotions","fold1","gaussian","hexagonal",3,3,500,5,0.5,0.001,0,0.25522922457509
"emotions","fold1","gaussian","hexagonal",3,3,1000,5,0.5,0.001,0,0.261082627489748
"emotions","fold1","gaussian","hexagonal",3,3,1500,5,0.5,0.001,0,0.259861858474631
"emotions","fold1","gaussian","hexagonal",3,3,500,7,0.5,0.001,0,0.263056098139596
"emotions","fold1","gaussian","hexagonal",3,3,1000,7,0.5,0.001,0,0.248726872731027
"emotions","fold1","gaussian","hexagonal",3,3,1500,7,0.5,0.001,0,0.259423584134122
"emotions","fold1","gaussian","hexagonal",3,3,500,3,0.1,0.001,0,0.257963918360338
"emotions","fold1","gaussian","hexagonal",3,3,1000,3,0.1,0.001,0,0.260768852105841
"emotions","fold1","gaussian","hexagonal",3,3,1500,3,0.1,0.001,0,0.260386541193083
"emotions","fold1","gaussian","hexagonal",3,3,500,5,0.1,0.001,0,0.267286109285708
"emotions","fold1","gaussian","hexagonal",3,3,1000,5,0.1,0.001,0,0.259799445256108
"emotions","fold1","gaussian","hexagonal",3,3,1500,5,0.1,0.001,0,0.260434233383384
"emotions","fold1","gaussian","hexagonal",3,3,500,7,0.1,0.001,0,0.329342185857706
"emotions","fold1","gaussian","hexagonal",3,3,1000,7,0.1,0.001,0,0.280019888741139
"emotions","fold1","gaussian","hexagonal",3,3,1500,7,0.1,0.001,0,0.281864883328499
"emotions","fold1","gaussian","hexagonal",3,3,500,3,0.05,0.001,0,0.319099743927478
"emotions","fold1","gaussian","hexagonal",3,3,1000,3,0.05,0.001,0,0.275600893031482
"emotions","fold1","gaussian","hexagonal",3,3,1500,3,0.05,0.001,0,0.261319301968295
"emotions","fold1","gaussian","hexagonal",3,3,500,5,0.05,0.001,0,0.28160109938824
"emotions","fold1","gaussian","hexagonal",3,3,1000,5,0.05,0.001,0,0.294377242945051
"emotions","fold1","gaussian","hexagonal",3,3,1500,5,0.05,0.001,0,0.289012321537229
"emotions","fold1","gaussian","hexagonal",3,3,500,7,0.05,0.001,0,0.306350481931629
"emotions","fold1","gaussian","hexagonal",3,3,1000,7,0.05,0.001,0,0.281906087994151
"emotions","fold1","gaussian","hexagonal",3,3,1500,7,0.05,0.001,0,0.281126533866952
"emotions","fold1","bubble","rectangular",3,3,500,3,0.5,0.01,0,0.197256196880105
"emotions","fold1","bubble","rectangular",3,3,1000,3,0.5,0.01,0,0.225121419622555
"emotions","fold1","bubble","rectangular",3,3,1500,3,0.5,0.01,0,0.198737532341303
"emotions","fold1","bubble","rectangular",3,3,500,5,0.5,0.01,0,0.247761512693269
"emotions","fold1","bubble","rectangular",3,3,1000,5,0.5,0.01,0,0.270605849465293
"emotions","fold1","bubble","rectangular",3,3,1500,5,0.5,0.01,0,0.196822494411642
"emotions","fold1","bubble","rectangular",3,3,500,7,0.5,0.01,0,0.26116722742765
"emotions","fold1","bubble","rectangular",3,3,1000,7,0.5,0.01,0,0.194232963640735
"emotions","fold1","bubble","rectangular",3,3,1500,7,0.5,0.01,0,0.253318877747134
"emotions","fold1","bubble","rectangular",3,3,500,3,0.1,0.01,0,0.218725730546216
"emotions","fold1","bubble","rectangular",3,3,1000,3,0.1,0.01,0,0.279081023726155
"emotions","fold1","bubble","rectangular",3,3,1500,3,0.1,0.01,0,0.280321143965999
"emotions","fold1","bubble","rectangular",3,3,500,5,0.1,0.01,0,0.280373872970239
"emotions","fold1","bubble","rectangular",3,3,1000,5,0.1,0.01,0,0.272567194475769
"emotions","fold1","bubble","rectangular",3,3,1500,5,0.1,0.01,0,0.24421917470018
"emotions","fold1","bubble","rectangular",3,3,500,7,0.1,0.01,0,0.249807356589124
"emotions","fold1","bubble","rectangular",3,3,1000,7,0.1,0.01,0,0.274864538210959
"emotions","fold1","bubble","rectangular",3,3,1500,7,0.1,0.01,0,0.246817036236849
"emotions","fold1","bubble","rectangular",3,3,500,3,0.05,0.01,0,0.281270786586349
"emotions","fold1","bubble","rectangular",3,3,1000,3,0.05,0.01,0,0.268870691718372
"emotions","fold1","bubble","rectangular",3,3,1500,3,0.05,0.01,0,0.278479701180812
"emotions","fold1","bubble","rectangular",3,3,500,5,0.05,0.01,0,0.303969312434346
"emotions","fold1","bubble","rectangular",3,3,1000,5,0.05,0.01,0,0.280220198705016
"emotions","fold1","bubble","rectangular",3,3,1500,5,0.05,0.01,0,0.227583551042144
"emotions","fold1","bubble","rectangular",3,3,500,7,0.05,0.01,0,0.232168036468488
"emotions","fold1","bubble","rectangular",3,3,1000,7,0.05,0.01,0,0.236304304452108
"emotions","fold1","bubble","rectangular",3,3,1500,7,0.05,0.01,0,0.274985601195857
"emotions","fold1","bubble","rectangular",3,3,500,3,0.5,0.005,0,0.19789041572619
"emotions","fold1","bubble","rectangular",3,3,1000,3,0.5,0.005,0,0.196742114492353
"emotions","fold1","bubble","rectangular",3,3,1500,3,0.5,0.005,0,0.245423784717913
"emotions","fold1","bubble","rectangular",3,3,500,5,0.5,0.005,0,0.191523928842349
"emotions","fold1","bubble","rectangular",3,3,1000,5,0.5,0.005,0,0.199284184561702
"emotions","fold1","bubble","rectangular",3,3,1500,5,0.5,0.005,0,0.205134692749731
"emotions","fold1","bubble","rectangular",3,3,500,7,0.5,0.005,0,0.216280023901031
