"dataset","neighborhood","topology","rlen","radius","alpha_start","alpha_end","n_folds","mean_time_s","total_time_s"
"emotions","gaussian","rectangular",1000,1,0.1,0.01,3,7.78333333333333,23.35
"emotions","gaussian","rectangular",1000,1.5,0.05,0.005,3,7.54666666666667,22.64
"emotions","gaussian","rectangular",1000,1.5,0.05,0.01,3,7.73666666666667,23.21
"emotions","gaussian","rectangular",1000,1.5,0.1,0.005,3,7.64333333333333,22.93
"emotions","gaussian","rectangular",1000,1.5,0.1,0.01,3,7.82333333333333,23.47
"scene","bubble","hexagonal",100,1,0.05,0.005,3,12.8633333333333,38.59
"scene","bubble","hexagonal",100,1,0.05,0.01,3,13.5233333333333,40.57
"scene","bubble","hexagonal",100,1,0.1,0.005,3,13.2,39.6
"scene","bubble","hexagonal",100,1,0.1,0.01,3,13.85,41.55
"scene","bubble","hexagonal",100,1.5,0.05,0.005,3,13.0233333333333,39.07
"scene","bubble","hexagonal",100,1.5,0.05,0.01,3,13.67,41.01
"scene","bubble","hexagonal",100,1.5,0.1,0.005,3,13.3433333333333,40.03
"scene","bubble","hexagonal",100,1.5,0.1,0.01,3,14.0066666666667,42.02
"scene","bubble","hexagonal",500,1,0.05,0.005,3,12.9166666666667,38.75
"scene","bubble","hexagonal",500,1,0.05,0.01,3,13.5733333333333,40.72
"scene","bubble","hexagonal",500,1,0.1,0.005,3,13.2433333333333,39.73
"scene","bubble","hexagonal",500,1,0.1,0.01,3,13.9033333333333,41.71
"scene","bubble","hexagonal",500,1.5,0.05,0.005,3,13.08,39.24
"scene","bubble","hexagonal",500,1.5,0.05,0.01,3,13.7266666666667,41.18
"scene","bubble","hexagonal",500,1.5,0.1,0.005,3,13.4033333333333,40.21
"scene","bubble","hexagonal",500,1.5,0.1,0.01,3,14.06,42.18
"scene","bubble","hexagonal",1000,1,0.05,0.005,3,13.0066666666667,39.02
"scene","bubble","hexagonal",1000,1,0.05,0.01,3,13.6566666666667,40.97
"scene","bubble","hexagonal",1000,1,0.1,0.005,3,13.3266666666667,39.98
"scene","bubble","hexagonal",1000,1,0.1,0.01,3,13.9933333333333,41.98
"scene","bubble","hexagonal",1000,1.5,0.05,0.005,3,13.1833333333333,39.55
"scene","bubble","hexagonal",1000,1.5,0.05,0.01,3,13.8366666666667,41.51
"scene","bubble","hexagonal",1000,1.5,0.1,0.005,3,13.51,40.53
"scene","bubble","hexagonal",1000,1.5,0.1,0.01,3,14.1666666666667,42.5
"scene","bubble","rectangular",100,1,0.05,0.005,3,11.4866666666667,34.46
"scene","bubble","rectangular",100,1,0.05,0.01,3,12.1566666666667,36.47
"scene","bubble","rectangular",100,1,0.1,0.005,3,11.8233333333333,35.47
"scene","bubble","rectangular",100,1,0.1,0.01,3,12.5066666666667,37.52
"scene","bubble","rectangular",100,1.5,0.05,0.005,3,11.65,34.95
"scene","bubble","rectangular",100,1.5,0.05,0.01,3,12.3133333333333,36.94
"scene","bubble","rectangular",100,1.5,0.1,0.005,3,11.9666666666667,35.9
"scene","bubble","rectangular",100,1.5,0.1,0.01,3,12.6733333333333,38.02
"scene","bubble","rectangular",500,1,0.05,0.005,3,11.5366666666667,34.61
"scene","bubble","rectangular",500,1,0.05,0.01,3,12.21,36.63
"scene","bubble","rectangular",500,1,0.1,0.005,3,11.87,35.61
"scene","bubble","rectangular",500,1,0.1,0.01,3,12.5666666666667,37.7
"scene","bubble","rectangular",500,1.5,0.05,0.005,3,11.7066666666667,35.12
"scene","bubble","rectangular",500,1.5,0.05,0.01,3,12.38,37.14
"scene","bubble","rectangular",500,1.5,0.1,0.005,3,12.0233333333333,36.07
"scene","bubble","rectangular",500,1.5,0.1,0.01,3,12.7366666666667,38.21
"scene","bubble","rectangular",1000,1,0.05,0.005,3,11.6133333333333,34.84
"scene","bubble","rectangular",1000,1,0.05,0.01,3,12.3033333333333,36.91
"scene","bubble","rectangular",1000,1,0.1,0.005,3,11.95,35.85
