"dataset","fold","neighborhood","topology","grid_size","rlen","radius","alpha_start","alpha_end","empty_neurons","qe_val","iter_time_s"
"emotions",1,"bubble","hexagonal","2x2",500,1.5,0.1,0.005,0,0.460060368834177,1.84
"emotions",1,"bubble","hexagonal","2x2",1000,1.5,0.1,0.005,0,0.460478808047352,1.86
"emotions",1,"bubble","hexagonal","2x2",100,1,0.05,0.01,0,0.460069905421595,1.87
"emotions",1,"bubble","hexagonal","2x2",500,1,0.05,0.01,0,0.504981705417969,1.88
"emotions",1,"bubble","hexagonal","2x2",1000,1,0.05,0.01,0,0.465859440618994,1.91
"emotions",1,"bubble","hexagonal","2x2",100,1.5,0.05,0.01,0,0.52201981034087,1.92
"emotions",1,"bubble","hexagonal","2x2",500,1.5,0.05,0.01,0,0.496399240122532,1.93
"emotions",1,"bubble","hexagonal","2x2",1000,1.5,0.05,0.01,0,0.485621318467731,1.96
"emotions",1,"bubble","hexagonal","2x2",100,1,0.1,0.01,0,0.468866308019059,1.96
"emotions",1,"bubble","hexagonal","2x2",500,1,0.1,0.01,0,0.482107943308917,1.97
"emotions",1,"bubble","hexagonal","2x2",1000,1,0.1,0.01,0,0.483359794481569,1.99
"emotions",1,"bubble","hexagonal","2x2",100,1.5,0.1,0.01,0,0.459597601852744,2
"emotions",1,"bubble","hexagonal","2x2",500,1.5,0.1,0.01,0,0.48462205028361,2.01
"emotions",1,"bubble","hexagonal","2x2",1000,1.5,0.1,0.01,0,0.466843469657337,2.03
"scene",1,"gaussian","rectangular","2x2",100,1,0.05,0.005,0,0.448364986140799,2.05
"scene",1,"gaussian","rectangular","2x2",500,1,0.05,0.005,0,0.449300104419984,2.12
"scene",1,"gaussian","rectangular","2x2",1000,1,0.05,0.005,0,0.457087427590951,2.21
"scene",1,"gaussian","rectangular","2x2",100,1.5,0.05,0.005,0,0.44819493473352,2.23
"scene",1,"gaussian","rectangular","2x2",500,1.5,0.05,0.005,0,0.448312577847702,2.28
"scene",1,"gaussian","rectangular","2x2",1000,1.5,0.05,0.005,0,0.45070397295713,2.37
"scene",1,"gaussian","rectangular","2x2",100,1,0.1,0.005,0,0.452770227615325,2.38
"scene",1,"gaussian","rectangular","2x2",500,1,0.1,0.005,0,0.438745071748044,2.43
"scene",1,"gaussian","rectangular","2x2",1000,1,0.1,0.005,0,0.451603158873907,2.52
"scene",1,"gaussian","rectangular","2x2",100,1.5,0.1,0.005,0,0.451949370610116,2.54
"scene",1,"gaussian","rectangular","2x2",500,1.5,0.1,0.005,0,0.447666500303999,2.59
"scene",1,"gaussian","rectangular","2x2",1000,1.5,0.1,0.005,0,0.448689647932853,2.69
"scene",1,"gaussian","rectangular","2x2",100,1,0.05,0.01,0,0.447317855216077,2.7
"scene",1,"gaussian","rectangular","2x2",500,1,0.05,0.01,0,0.461053173164946,2.77
"scene",1,"gaussian","rectangular","2x2",1000,1,0.05,0.01,0,0.447442069346487,2.87
"scene",1,"gaussian","rectangular","2x2",100,1.5,0.05,0.01,0,0.449644992502841,2.88
"scene",1,"gaussian","rectangular","2x2",500,1.5,0.05,0.01,0,0.450036988816817,2.93
"scene",1,"gaussian","rectangular","2x2",1000,1.5,0.05,0.01,0,0.468173480492769,3.02
"scene",1,"gaussian","rectangular","2x2",100,1,0.1,0.01,0,0.446721587149939,3.04
"scene",1,"gaussian","rectangular","2x2",500,1,0.1,0.01,0,0.454916328618645,3.09
"scene",1,"gaussian","rectangular","2x2",1000,1,0.1,0.01,0,0.452182901556498,3.18
"scene",1,"gaussian","rectangular","2x2",100,1.5,0.1,0.01,0,0.452247682922333,3.19
"scene",1,"gaussian","rectangular","2x2",500,1.5,0.1,0.01,0,0.441565059401956,3.25
"scene",1,"gaussian","rectangular","2x2",1000,1.5,0.1,0.01,0,0.454867105826787,3.34
"scene",1,"gaussian","hexagonal","2x2",100,1,0.05,0.005,0,0.440311071669624,3.36
"scene",1,"gaussian","hexagonal","2x2",500,1,0.05,0.005,0,0.43035764809273,3.42
"scene",1,"gaussian","hexagonal","2x2",1000,1,0.05,0.005,0,0.433399527090445,3.51
"scene",1,"gaussian","hexagonal","2x2",100,1.5,0.05,0.005,0,0.437146978734783,3.53
"scene",1,"gaussian","hexagonal","2x2",500,1.5,0.05,0.005,0,0.429727725515443,3.59
"scene",1,"gaussian","hexagonal","2x2",1000,1.5,0.05,0.005,0,0.453731170257444,3.68
"scene",1,"gaussian","hexagonal","2x2",100,1,0.1,0.005,0,0.43472020783887,3.7
"scene",1,"gaussian","hexagonal","2x2",500,1,0.1,0.005,0,0.438217201545867,3.75
"scene",1,"gaussian","hexagonal","2x2",1000,1,0.1,0.005,0,0.42607405498042,3.84
"scene",1,"gaussian","hexagonal","2x2",100,1.5,0.1,0.005,0,0.445517014975823,3.85
"scene",1,"gaussian","hexagonal","2x2",500,1.5,0.1,0.005,0,0.432892115282242,3.9
"scene",1,"gaussian","hexagonal","2x2",1000,1.5,0.1,0.005,0,0.427513294739685,4
"scene",1,"gaussian","hexagonal","2x2",100,1,0.05,0.01,0,0.46974539530294,4.01
"scene",1,"gaussian","hexagonal","2x2",500,1,0.05,0.01,0,0.435379518106208,4.07
"scene",1,"gaussian","hexagonal","2x2",1000,1,0.05,0.01,0,0.435670707635557,4.16
"scene",1,"gaussian","hexagonal","2x2",100,1.5,0.05,0.01,0,0.435976989181536,4.18
"scene",1,"gaussian","hexagonal","2x2",500,1.5,0.05,0.01,0,0.443663537775892,4.23
"scene",1,"gaussian","hexagonal","2x2",1000,1.5,0.05,0.01,0,0.436133011607444,4.32
"scene",1,"gaussian","hexagonal","2x2",100,1,0.1,0.01,0,0.443143456436737,4.34
"scene",1,"gaussian","hexagonal","2x2",500,1,0.1,0.01,0,0.441369804340236,4.39
"scene",1,"gaussian","hexagonal","2x2",1000,1,0.1,0.01,0,0.438933568996274,4.48
"scene",1,"gaussian","hexagonal","2x2",100,1.5,0.1,0.01,0,0.434809412830162,4.5
"scene",1,"gaussian","hexagonal","2x2",500,1.5,0.1,0.01,0,0.429308508324944,4.56
"scene",1,"gaussian","hexagonal","2x2",1000,1.5,0.1,0.01,0,0.428781338430378,4.64
"scene",1,"bubble","rectangular","2x2",100,1,0.05,0.005,0,0.375762066441679,4.66
"scene",1,"bubble","rectangular","2x2",500,1,0.05,0.005,0,0.378556659875218,4.72
